gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000048109.11,35.20166924,32.93130027,28.9045416,33.10419009,29.04344153,32.79462064,25.08068043,21.16005409
ENSMUSG00000105532.2,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000027895.11,0.626364221,0.88554757,0.374572893,0.396118514,1.052934436,0.784977622,0.112976038,0
ENSMUSG00000027894.15,36.20385199,32.0457527,22.16222952,23.20122724,8.072497344,10.03026961,3.050353025,4.681427895
ENSMUSG00000014603.4,0.062636422,0.110693446,0,0,0,0,0,0
ENSMUSG00000014601.14,65.14187901,56.56435105,52.00320335,56.53177077,45.80264797,48.5813928,32.19817082,38.13803259
ENSMUSG00000078604.2,0.125272844,0,0,0,0,0.087219736,0.056488019,0
ENSMUSG00000027893.15,149.3878668,149.4914992,149.4545844,146.7902036,139.2505792,138.6793798,136.3055898,134.7627043
ENSMUSG00000014599.11,27.68529858,23.79909095,27.34382121,30.84065573,43.78452364,39.24888108,77.61453807,87.13697789
ENSMUSG00000105944.2,0.062636422,0,0.062428816,0.056588359,0,0,0,0
ENSMUSG00000040600.10,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000086968.9,7.704279922,7.084380563,8.115746021,8.714607306,5.966628471,7.064798594,2.824400949,4.49417078
ENSMUSG00000004032.11,35.3895785,26.84316073,23.72294991,25.35158489,24.30523657,24.33430627,23.10359976,31.95854777
ENSMUSG00000004035.13,17.35028893,15.33104231,10.48804101,12.67579244,11.31904519,11.25134591,37.5080446,38.38770874
ENSMUSG00000068762.12,0.501091377,0.442773785,0.062428816,0.67906031,0.087744536,0.087219736,0.225952076,0.499352309
ENSMUSG00000004038.10,0.062636422,0.055346723,0,0.056588359,0,0,0.056488019,0
ENSMUSG00000040562.13,22.61174839,17.10213745,11.36204443,16.86333102,15.96950561,14.30403666,30.56001827,38.01319451
ENSMUSG00000058135.13,36.70494337,37.63577174,21.47551255,24.5027595,25.53366008,23.89820759,102.9776586,129.7067622
ENSMUSG00000083627.2,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000081688.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000027890.18,11.52510167,7.084380563,7.616315496,11.26108347,7.809263735,7.675336744,8.416714827,9.113179636
ENSMUSG00000027889.18,33.07203088,27.5073214,29.90340265,28.35076792,20.44447697,20.84551684,9.094571055,8.988341559
ENSMUSG00000056411.3,0.87690991,0.664160678,0.811574602,0.452706873,0.438722682,0.348878943,0.056488019,0
ENSMUSG00000009108.16,0.313182111,0.608813955,0.312144078,0.565883591,0.614211754,0.174439471,0.225952076,0.062419039
ENSMUSG00000000001.5,65.3924247,65.69656037,62.86581725,70.11297696,55.10356882,52.76794012,33.72334733,32.70757623
ENSMUSG00000046793.9,0.250545689,0.332080339,0,0.226353437,0,0,0,0
ENSMUSG00000085318.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000050947.10,25.36775096,20.0908605,26.34496016,25.52134997,22.1993677,23.81098786,33.61037129,40.63479413
ENSMUSG00000048796.8,11.33719241,7.416460901,8.67760536,11.37426019,9.827388071,11.16412617,12.76629229,10.73607464
ENSMUSG00000048997.18,9.520736163,8.744782257,7.491457865,7.356486687,6.317606617,5.233184144,2.937376987,1.685314042
ENSMUSG00000027887.12,2.881275418,2.435255818,4.994305243,3.565066625,0.438722682,0.959417093,1.186248398,0.811447502
ENSMUSG00000085102.2,0,0.166040169,0.062428816,0,0,0,0.056488019,0
ENSMUSG00000068749.10,30.37866473,33.37407406,28.46753989,34.40572235,29.74539782,25.20650363,24.45931222,20.34860659
ENSMUSG00000084863.2,0,0,0.062428816,0,0,0.087219736,0,0
ENSMUSG00000068747.15,112.3697413,81.3043363,89.5853503,91.84290687,86.51611284,71.08408462,32.42412289,23.90649179
ENSMUSG00000105358.2,0.250545689,0.332080339,0.312144078,0.396118514,0.438722682,0.174439471,0.056488019,0.062419039
ENSMUSG00000078601.5,0.125272844,0,0,0.113176718,0.087744536,0,0.056488019,0
ENSMUSG00000068745.7,17.85138031,1.328321355,0.437001709,0.339530155,0,0.523318414,0.282440095,0.187257116
ENSMUSG00000074281.4,0.751637066,0.553467231,0.499430524,0.339530155,0.175489073,0.261659207,0,0
ENSMUSG00000068744.13,4.447185971,4.095657513,5.556164583,5.658835913,2.63233609,4.012107844,0.282440095,0.062419039
ENSMUSG00000068740.14,15.15801415,12.50835943,13.42219534,12.50602737,9.739643534,11.16412617,10.78921162,7.240608478
ENSMUSG00000068739.14,95.45790732,85.51068726,82.96789586,87.65536829,82.91858685,79.36995952,61.12003653,59.36050571
ENSMUSG00000089188.4,0.062636422,0.055346723,0.062428816,0,0,0,0,0
ENSMUSG00000040412.18,0.313182111,0.664160678,0.187286447,0.396118514,0.526467218,0.523318414,0,0.124838077
ENSMUSG00000080673.3,0,0,0.062428816,0,0,0,0,0
ENSMUSG00000103761.2,0.062636422,0.055346723,0,0,0,0,0,0
ENSMUSG00000027886.8,0.062636422,0,0.062428816,0.056588359,0.087744536,0,0,0
ENSMUSG00000088185.3,1.064819176,3.597537004,2.559581437,2.263534365,3.071058772,4.70986573,1.186248398,1.685314042
ENSMUSG00000105810.2,0,0,0.062428816,0,0,0.087219736,0,0
ENSMUSG00000068732.6,40.58840154,37.13765123,38.39372156,41.02656037,35.36104815,34.80067456,30.50353025,30.95984315
ENSMUSG00000048100.14,13.5921036,12.95113322,14.17134113,15.33544532,13.68814767,12.64686168,12.82278031,12.67106484
ENSMUSG00000040389.16,15.22065058,15.49708248,14.60834284,17.82533313,13.95138128,13.25739983,10.50677153,10.86091272
ENSMUSG00000081499.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000027884.17,24.49084105,25.68087954,27.21896358,31.23677424,29.39441968,22.85157076,34.85310771,39.13673721
ENSMUSG00000027883.16,16.28546975,15.22034886,19.47779045,24.38958278,12.10874602,13.4318393,2.20303274,1.747733081
ENSMUSG00000049565.17,0.062636422,0.055346723,0.187286447,0.282941796,0.263233609,0.087219736,0.056488019,0
ENSMUSG00000027882.19,22.48647554,26.23434677,23.53566346,26.9926473,25.97238276,19.62444054,21.86086334,20.66070178
ENSMUSG00000045326.14,0.125272844,0.110693446,0.124857631,0.056588359,0.087744536,0,0.056488019,0.124838077
ENSMUSG00000105175.2,0.062636422,0,0.062428816,0,0,0.087219736,0,0
ENSMUSG00000027881.15,90.38435713,128.349051,98.94967264,104.8016411,94.76409925,106.1464184,53.83308208,47.50088838
ENSMUSG00000045662.18,0,0,0.249715262,0,0.350978145,0.087219736,0.056488019,0
ENSMUSG00000040339.11,38.02030823,35.97537004,47.32104218,44.59162699,38.69534053,40.73161659,23.95092005,24.40584409
ENSMUSG00000106108.2,0.375818533,0.276733616,0.187286447,0.282941796,0.614211754,0.872197357,0.225952076,0.124838077
ENSMUSG00000105139.2,0.438454955,0.387427062,0.374572893,0.339530155,0.614211754,0.261659207,0.338928114,0.249676154
ENSMUSG00000040322.11,30.37866473,27.7287083,31.52655185,32.8212483,23.86651389,17.35672741,7.908322657,9.238017714
ENSMUSG00000033721.17,16.03492406,15.82916282,17.04306664,17.54239133,17.63665181,15.00179455,7.230466429,6.990932324
ENSMUSG00000059857.16,0.250545689,0.608813955,0.124857631,0.396118514,0.175489073,0.174439471,0.056488019,0.062419039
ENSMUSG00000049300.12,8.894371942,8.080621579,6.555025632,6.677426377,5.089183108,6.192601237,3.728209252,3.994818471
ENSMUSG00000105509.2,1.503274131,1.771095141,1.68557802,1.697650774,1.491657118,1.569955243,1.468688493,1.560475965
ENSMUSG00000104944.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000105077.2,0,0,0,0,0,0.174439471,0.056488019,0.062419039
ENSMUSG00000045952.4,0,0,0,0,0.087744536,0,0,0.124838077
ENSMUSG00000074264.13,1.941729086,4.538431298,4.05787301,2.942594675,2.63233609,2.791031543,5.196897746,3.12095193
ENSMUSG00000027981.15,12.15146589,20.69967446,17.10549546,18.05168656,15.35529386,18.14170503,14.91283701,12.6086458
ENSMUSG00000105836.2,0.187909266,0.221386893,0.124857631,0.169765077,0,0,0.112976038,0.312095193
ENSMUSG00000027966.21,19.47992728,18.54115225,17.6673548,22.86169709,8.511220025,8.721973573,0.056488019,0.124838077
ENSMUSG00000027965.16,0,0.055346723,0,0,0.087744536,0,0,0.062419039
ENSMUSG00000088346.3,0,0,0,0,0,0,0.056488019,0.062419039
ENSMUSG00002075856.1,0,0,0.062428816,0.113176718,0,0.087219736,0,0
ENSMUSG00000105829.2,0,0,0,0.056588359,0,0.087219736,0.169464057,0
ENSMUSG00000045092.9,114.9378346,111.1362201,94.82937081,111.9883627,88.62198171,95.85448957,81.39923534,85.07714962
ENSMUSG00000052769.8,0.250545689,0.719507401,0.499430524,0.169765077,0.175489073,0.348878943,0.056488019,0.374514232
ENSMUSG00000054426.12,6.76473359,4.04031079,8.365461283,4.753422167,7.721519198,6.890359123,4.236601423,8.48898925
ENSMUSG00000033554.18,7.6416435,7.859234687,8.053317205,5.998366068,7.107307444,6.367040709,6.04421803,6.304322899
ENSMUSG00000054414.5,29.00066344,28.66960259,31.7138383,33.27395517,27.37629534,27.91031543,23.10359976,16.79072138
ENSMUSG00000089261.3,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000027963.15,27.99848069,26.17900005,20.72636676,21.61675319,20.97094419,18.22892477,19.37539051,18.9129687
ENSMUSG00000027962.15,75.10107013,71.89539336,43.07588272,57.041066,29.13118607,34.71345482,26.54936892,20.59828274
ENSMUSG00000104653.2,0.250545689,0.387427062,0.249715262,0.169765077,0.087744536,0.174439471,0,0
ENSMUSG00000105729.2,0.125272844,0.055346723,0.062428816,0,0.087744536,0.087219736,0,0
ENSMUSG00000068696.7,0.626364221,0.110693446,0,0,0.087744536,0,0.112976038,0.249676154
ENSMUSG00000033502.16,8.455916987,9.021515873,9.2394647,7.469663405,7.19505198,8.896413045,3.784697271,3.869980394
ENSMUSG00000106005.2,0,0.055346723,0.062428816,0.056588359,0.087744536,0.087219736,0,0
ENSMUSG00000000339.15,31.06766538,26.787814,31.21440777,30.78406737,21.40966687,26.95089834,16.60747758,23.65681563
ENSMUSG00000000340.11,49.48277348,62.20971681,50.56734059,53.47599938,53.17318903,43.6970876,91.45410272,92.25533906
ENSMUSG00000082394.2,0.062636422,0.553467231,0.124857631,0.056588359,0,0.174439471,0.169464057,0.374514232
ENSMUSG00000105992.2,0.062636422,0.110693446,0,0.056588359,0.087744536,0.174439471,0,0
ENSMUSG00000034437.9,1.002182754,0.940894293,0.998861049,1.188355542,1.052934436,1.308296036,0.169464057,0.249676154
ENSMUSG00000027961.8,133.6661248,157.9595479,156.7587558,119.7975563,153.9039167,141.1215324,151.1619388,118.7210114
ENSMUSG00000106025.2,8.205371299,8.578742087,7.741173127,5.489070836,6.49309569,5.494843351,5.253385765,3.745142316
ENSMUSG00000033439.13,12.02619305,14.44549474,12.29847666,11.4874369,10.96806704,11.07690644,8.190762752,6.866094247
ENSMUSG00000027959.15,5.386732303,7.471807625,8.365461283,8.601430588,5.176927644,6.018161766,1.299224436,1.747733081
ENSMUSG00000089911.5,36.76757979,31.21555185,30.5276908,31.74606947,26.93757266,29.13139173,24.68526429,23.2823014
ENSMUSG00000106125.2,0,0,0.062428816,0.113176718,0.087744536,0,0,0
ENSMUSG00000027957.14,32.13248455,32.7652601,31.21440777,33.61348532,34.30811371,36.63228901,21.69139929,22.09633967
ENSMUSG00000033400.15,418.5365727,436.2982185,403.4774349,344.1138119,341.2385018,298.5531554,507.9402666,473.3859888
ENSMUSG00000033386.11,18.66565379,22.02799581,16.91820901,18.10827492,13.42491406,15.17623402,8.021298695,8.551408289
ENSMUSG00000033377.15,41.71585714,41.89746942,51.37891519,52.00470204,62.29862081,61.92601237,63.04062918,60.04711514
ENSMUSG00000106073.2,2.317547619,3.320803389,4.807018797,3.848008421,8.16024188,5.93094203,2.541960854,2.059828274
ENSMUSG00000028009.8,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000044667.13,7.140552123,8.966169149,10.73775627,10.80837659,4.825949499,7.413677537,0.847320285,0.561771347
ENSMUSG00000033342.16,3.194457528,0.996241017,0.998861049,0.67906031,1.228423509,0.872197357,0.056488019,0.187257116
ENSMUSG00000028007.14,14.59428636,14.39014802,17.41763954,18.84392359,15.79401654,15.17623402,5.931241992,6.241903861
ENSMUSG00000104678.2,0.125272844,0,0,0,0,0,0,0
ENSMUSG00000097311.8,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000033308.17,3.006548262,3.376150112,3.308727224,2.942594675,4.650460426,4.099327579,12.25790012,10.98575079
ENSMUSG00000106542.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000106037.2,2.380184041,2.878029604,2.309866175,1.471297337,1.316168045,1.569955243,1.299224436,1.373218849
ENSMUSG00000028134.12,48.16740862,62.26506354,44.51174548,50.30705127,36.9404498,38.8127824,23.72496797,20.84795889
ENSMUSG00000105572.2,2.94391184,5.257938699,2.871725515,5.715424272,5.352416717,4.186547315,2.372496797,1.435637888
ENSMUSG00000106099.2,3.319730373,6.807646947,3.933015379,6.337896222,3.422036917,5.145964408,1.412200474,1.310799811
ENSMUSG00000106075.2,0,0.055346723,0,0,0.175489073,0,0,0
ENSMUSG00000028133.18,3.883458172,5.9774461,2.559581437,4.923187244,4.211737745,3.663228901,2.485472835,1.435637888
ENSMUSG00000106329.2,0.062636422,0.110693446,0.686716971,0.169765077,0.175489073,0,0,0.062419039
ENSMUSG00000028132.16,2.693366151,2.324562372,2.497152622,2.093769288,0.701956291,1.83161445,4.067137366,2.933694814
ENSMUSG00000039887.12,16.34810618,16.4933235,14.23376994,18.05168656,11.40678972,12.90852089,8.021298695,12.67106484
ENSMUSG00002075985.1,0.125272844,0,0,0.113176718,0,0,0,0
ENSMUSG00000106455.2,0.125272844,0.110693446,0.124857631,0,0,0,0.112976038,0.124838077
ENSMUSG00000105813.2,0.87690991,1.106934463,0.624288155,0.905413746,0.614211754,0.697757886,0.225952076,0.312095193
ENSMUSG00000053931.12,124.4585708,113.7375161,97.07680817,126.5881594,85.98964562,75.1834122,32.76305101,37.01448989
ENSMUSG00000106022.2,0.689000643,0.553467231,0.624288155,0.565883591,0.701956291,0.784977622,0.112976038,0.312095193
ENSMUSG00000039865.9,1.378001287,1.272974632,1.560720389,2.150357647,1.228423509,0.959417093,0.112976038,0.187257116
ENSMUSG00000097124.3,0,0.055346723,0.062428816,0.056588359,0.263233609,0,0.395416133,0.062419039
ENSMUSG00000044522.9,0.375818533,0.332080339,0.499430524,0.509295232,0.614211754,0.959417093,1.186248398,1.498056927
ENSMUSG00000106224.2,0.501091377,0.498120508,0.187286447,0.339530155,0.350978145,0.348878943,0.677856228,0.749028463
ENSMUSG00000028128.14,9.646009008,9.021515873,7.99088839,9.563432693,11.31904519,9.855830138,20.39217485,17.72700696
ENSMUSG00000104676.2,0.062636422,0,0.124857631,0.169765077,0,0.087219736,0,0.124838077
ENSMUSG00000028127.11,102.535823,105.4355076,117.9904614,93.65373436,106.9605898,110.1585262,193.8668811,165.6601285
ENSMUSG00000106087.2,1.252728443,1.439014802,1.935293282,1.131767183,0.877445363,1.395515772,0.903808304,0.811447502
ENSMUSG00000105597.2,1.628546975,1.992482033,1.68557802,1.641062415,1.403912582,1.482735507,1.468688493,0.811447502
ENSMUSG00000039831.17,144.815408,159.0664823,154.7610337,178.5928614,166.1881518,159.4376769,96.31207235,83.76634981
ENSMUSG00000104869.2,0.250545689,0.276733616,0.062428816,0.396118514,0.263233609,0.261659207,0.282440095,0.187257116
ENSMUSG00000028125.15,11.77564736,15.88450954,3.308727224,10.69519988,7.370541053,3.052690751,4.010649347,1.373218849
ENSMUSG00000104887.2,0.125272844,0.110693446,0,0,0,0,0,0
ENSMUSG00000078592.3,0.313182111,0.110693446,0.062428816,0.113176718,0.087744536,0,0,0
ENSMUSG00000028124.16,32.06984813,31.16020513,24.97152622,29.31277003,27.72727349,22.50269182,26.88829703,24.03132986
ENSMUSG00000057359.8,0.501091377,0.719507401,0.56185934,0.848825387,0.438722682,0.348878943,0.508392171,0.062419039
ENSMUSG00000039756.13,35.89066988,41.89746942,32.15084,39.83820483,36.76496073,34.36457588,41.23625385,42.07043202
ENSMUSG00000105057.2,0,0,0,0,0,0.087219736,0.112976038,0.124838077
ENSMUSG00000028121.9,5.574641569,5.81140593,6.742312079,7.526251764,10.44159983,8.547534102,6.04421803,3.495466162
ENSMUSG00002075702.1,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000039735.17,84.12071492,119.7703089,100.3231066,119.118496,95.46605554,101.5237724,37.84697271,27.71405314
ENSMUSG00000106194.2,0,0.166040169,0.062428816,0.113176718,0.087744536,0.087219736,0,0
ENSMUSG00000106364.2,0,0.055346723,0,0.169765077,0,0,0,0
ENSMUSG00000106365.2,0,0,0.187286447,0.169765077,0,0,0,0.062419039
ENSMUSG00000106562.2,0.125272844,0,0,0,0,0,0,0
ENSMUSG00000053965.11,18.35247168,17.87699158,22.78651767,27.84147269,30.44735411,23.98542733,8.134274733,6.553999054
ENSMUSG00000106583.2,0,0,0,0.113176718,0,0,0,0
ENSMUSG00000106376.2,0,0,0.062428816,0,0,0.087219736,0,0
ENSMUSG00000097852.6,0,0.221386893,0.062428816,0.056588359,0,0,0.056488019,0
ENSMUSG00000023057.6,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000054091.10,22.98756692,18.76253915,19.72750571,22.80510873,17.28567366,22.50269182,19.31890249,21.03521601
ENSMUSG00000039701.12,10.02182754,17.15748417,13.98405468,12.61920409,13.5126586,12.64686168,12.59682823,13.4200933
ENSMUSG00000105478.2,0.313182111,0.88554757,0.249715262,0.226353437,0.350978145,0.348878943,0.056488019,0
ENSMUSG00000028116.14,332.7873108,380.4533749,470.6508404,453.8386402,614.7382216,559.6890442,893.2450441,867.1252843
ENSMUSG00002075254.1,0.062636422,0.055346723,0,0.056588359,0,0.174439471,0.225952076,0.249676154
ENSMUSG00000106114.2,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000050315.15,127.1519369,111.9664209,100.7601083,98.01103801,111.7865393,99.86659741,245.4969305,223.7722534
ENSMUSG00000106012.2,0,0.221386893,0.437001709,0.339530155,0,0.261659207,0.112976038,0.062419039
ENSMUSG00000105562.2,0.313182111,0.221386893,0.624288155,0.226353437,0.175489073,0.436098679,0.338928114,0
ENSMUSG00000106220.2,0.313182111,1.106934463,0.936432233,0.565883591,0.789700827,1.133856565,1.016784342,0.312095193
ENSMUSG00000106490.2,0.375818533,0.387427062,0.499430524,0.452706873,0.789700827,0.523318414,0.621368209,0.249676154
ENSMUSG00000039234.12,106.6071905,88.05663652,104.3185508,114.082132,105.03021,104.5764631,66.82532645,56.98858225
ENSMUSG00000028114.17,30.75448326,34.09358146,33.58670276,33.10419009,28.51697431,30.78856671,28.07454543,25.2172916
ENSMUSG00000027978.10,2.317547619,1.715748417,1.810435651,0.905413746,1.667146191,1.482735507,1.242736417,0.686609425
ENSMUSG00000104960.2,8.268007721,7.139727286,6.86716971,7.016956532,6.49309569,6.54148018,4.293089442,3.433047123
ENSMUSG00000104670.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000027977.16,1.127455598,1.881788587,1.872864466,2.320122724,1.140678972,1.308296036,0.225952076,0.187257116
ENSMUSG00000104860.2,0.062636422,0,0,0,0,0.087219736,0,0
ENSMUSG00000090474.4,0.313182111,0,0,0,0,0,0,0
ENSMUSG00000044528.6,2.192274774,1.715748417,1.68557802,1.92400421,1.140678972,1.395515772,0.338928114,0.187257116
ENSMUSG00000096544.3,3.131821106,2.711989434,1.872864466,2.716241238,2.544591554,3.227130222,0.169464057,0.312095193
ENSMUSG00000106150.3,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000106009.2,0.062636422,0.055346723,0,0,0,0,0,0
ENSMUSG00000098033.3,0,0,0,0,0,0,0.056488019,0
ENSMUSG00000027971.17,0.187909266,0.110693446,0,0.113176718,0,0,0,0
ENSMUSG00000032854.13,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000106503.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000106094.2,0,0,0,0,0,0,0.056488019,0
ENSMUSG00000046561.10,3.632912483,2.379909095,3.808157748,3.508478266,2.281357945,2.529372336,0.56488019,0.312095193
ENSMUSG00000105695.2,0.313182111,0.442773785,0.312144078,0.169765077,0.263233609,0.436098679,0.169464057,0.124838077
ENSMUSG00000105233.2,2.442820463,0.719507401,0.062428816,1.527885696,3.860759599,0.087219736,1.412200474,0.124838077
ENSMUSG00000053819.17,283.3045373,308.5579815,349.9135111,348.1315854,344.2218161,328.2950853,237.2496797,212.8489216
ENSMUSG00000106475.2,1.503274131,1.383668079,2.060150913,2.093769288,2.369102481,3.488789429,0.677856228,0.87386654
ENSMUSG00000104571.2,0.313182111,0.996241017,0.499430524,1.075178823,1.316168045,0.959417093,0.282440095,0.187257116
ENSMUSG00000105586.2,0.689000643,0.498120508,0.499430524,0.452706873,0.701956291,0.784977622,0.056488019,0.062419039
ENSMUSG00000105774.2,0.939546332,0.88554757,1.498291573,1.188355542,1.403912582,1.918834186,0.677856228,0.312095193
ENSMUSG00000104906.2,0.125272844,0.110693446,0.124857631,0.282941796,0,0.174439471,0.056488019,0.124838077
ENSMUSG00000086679.3,0.125272844,0.608813955,0.56185934,0.509295232,0.263233609,0.61053815,0.169464057,0.062419039
ENSMUSG00000105378.2,0.751637066,0.996241017,0.374572893,1.075178823,0.789700827,0.872197357,0.282440095,0.124838077
ENSMUSG00000105553.2,0.250545689,0.221386893,0.312144078,0.565883591,0.263233609,0.261659207,0.056488019,0.124838077
ENSMUSG00000032826.20,228.7482136,256.4213683,286.1736904,252.9499653,257.003747,256.1643638,304.9223264,237.0050896
ENSMUSG00000105469.2,0.187909266,1.162281186,0.499430524,0.509295232,1.140678972,0.697757886,0.508392171,0.312095193
ENSMUSG00000105939.2,0.626364221,0.774854124,0.874003418,0.565883591,0.789700827,1.046636829,0.225952076,0.249676154
ENSMUSG00000105119.2,0,0.553467231,0.312144078,0.452706873,0.701956291,0.436098679,0.451904152,0
ENSMUSG00000077617.3,0,0.055346723,0,0.056588359,0.087744536,0,0,0
ENSMUSG00000106612.2,0.250545689,0.442773785,0.124857631,0.282941796,0.438722682,0.087219736,0,0
ENSMUSG00000105322.2,0.814273488,0.664160678,0.936432233,0.509295232,1.052934436,0.697757886,0.338928114,0.499352309
ENSMUSG00000104963.2,0.125272844,0.221386893,0.374572893,0.396118514,0.175489073,0.348878943,0.169464057,0.062419039
ENSMUSG00000097456.8,0.062636422,0.055346723,0.312144078,0.226353437,0.087744536,0.174439471,0,0.062419039
ENSMUSG00000105202.2,0.125272844,0.608813955,0.499430524,0.67906031,0.9651899,0.784977622,0,0.187257116
ENSMUSG00000105733.2,0.626364221,1.272974632,1.623149204,1.584474056,1.842635263,2.180493393,0.790832266,0.374514232
ENSMUSG00000105445.2,0.689000643,1.826441864,1.68557802,2.150357647,1.842635263,3.052690751,0.508392171,0.124838077
ENSMUSG00000105568.2,1.816456242,3.265456666,3.933015379,3.508478266,4.123993208,4.099327579,1.355712455,1.373218849
ENSMUSG00000106446.2,1.628546975,2.545949265,3.558442486,3.734831703,3.948504136,3.924888108,0.903808304,0.686609425
ENSMUSG00000105822.2,0.438454955,0.608813955,0.374572893,0.735648669,1.052934436,1.395515772,0.056488019,0.312095193
ENSMUSG00000106369.2,0.751637066,0.608813955,0.811574602,1.188355542,1.667146191,0.784977622,0.112976038,0.312095193
ENSMUSG00000105969.2,0.814273488,0.996241017,0.811574602,1.018590464,1.316168045,1.133856565,0.451904152,0.312095193
ENSMUSG00002075047.1,0,0,0,0.056588359,0,0,0,0
ENSMUSG00000104957.2,0.062636422,0,0,0,0.087744536,0,0,0
ENSMUSG00000027968.12,56.37277991,72.33816715,59.86923411,61.96425325,45.6271589,48.14529412,31.52031459,30.02355757
ENSMUSG00000076252.3,0,0,0.062428816,0,0,0,0,0.062419039
ENSMUSG00000065552.3,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000051278.13,10.89873745,19.64808672,17.35521072,16.86333102,9.037687244,12.55964195,2.316008778,1.123542695
ENSMUSG00000105104.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000027967.9,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000028028.12,6.388915057,6.807646947,18.41650059,6.168131145,5.440161253,5.582063087,5.648801898,5.055942127
ENSMUSG00000089988.3,0.250545689,0.276733616,0.998861049,0.226353437,0.350978145,0.087219736,0.338928114,0.187257116
ENSMUSG00000104888.2,0.062636422,0.110693446,0.249715262,0.056588359,0.087744536,0,0.112976038,0
ENSMUSG00000105701.2,0.062636422,0.055346723,0.124857631,0.056588359,0.263233609,0,0.056488019,0.187257116
ENSMUSG00000046688.15,2.317547619,2.490602542,4.869447612,2.546476161,2.018124336,3.227130222,2.937376987,1.435637888
ENSMUSG00000074238.7,30.94239253,31.21555185,29.65368738,30.95383244,24.56847018,28.08475491,27.73561732,24.28100602
ENSMUSG00000105804.2,0.375818533,0.664160678,0.374572893,0.735648669,0.438722682,0.523318414,0.169464057,0.187257116
ENSMUSG00000105447.2,0,0,0.062428816,0,0.087744536,0.087219736,0.112976038,0
ENSMUSG00000105550.2,0.187909266,0.110693446,0.124857631,0.226353437,0.263233609,0.087219736,0,0.062419039
ENSMUSG00000105008.2,0.062636422,0.221386893,0.062428816,0.113176718,0.087744536,0.174439471,0.056488019,0
ENSMUSG00000050549.9,9.646009008,8.523395364,10.67532746,9.902962848,8.686709098,8.024215687,3.276305101,3.994818471
ENSMUSG00000104763.2,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000105816.5,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000106245.2,0,0.110693446,0,0,0,0,0,0
ENSMUSG00000074236.4,0.125272844,0.055346723,0,0.056588359,0,0.087219736,0,0.062419039
ENSMUSG00000028023.17,12.15146589,2.933376327,1.186147495,1.471297337,0.877445363,0.872197357,0.451904152,0.062419039
ENSMUSG00000106078.2,0.125272844,0.110693446,0.187286447,0,0,0.087219736,0,0
ENSMUSG00000028024.15,25.36775096,20.58898101,14.79562928,14.99591517,13.60040313,15.17623402,9.94189134,7.303027517
ENSMUSG00000106417.2,0.125272844,0,0,0,0,0.087219736,0,0
ENSMUSG00000106258.2,0,0,0,0.056588359,0,0.087219736,0,0
ENSMUSG00000105837.5,0.062636422,0,0.062428816,0,0.087744536,0,0,0
ENSMUSG00000041220.11,11.14928314,17.37887107,9.489179963,11.43084854,4.211737745,5.407623615,0.903808304,1.747733081
ENSMUSG00000106092.2,0.062636422,0.332080339,0,0,0.175489073,0,0,0
ENSMUSG00000028017.8,6.952642856,8.135968302,10.92504272,8.035546996,10.6170889,8.111435423,8.642666903,3.620304239
ENSMUSG00002075346.1,0,0.055346723,0.062428816,0.056588359,0.087744536,0,0.056488019,0
ENSMUSG00000106120.2,0.501091377,0.110693446,0.56185934,0.792237028,0.877445363,0.174439471,0.056488019,0.124838077
ENSMUSG00000105596.2,0,0.055346723,0.062428816,0,0,0,0,0
ENSMUSG00000105960.2,1.252728443,1.162281186,1.623149204,1.98059257,1.403912582,0.523318414,0.508392171,0.499352309
ENSMUSG00000028012.16,0,0.276733616,0.124857631,0.282941796,0.350978145,0.087219736,0.112976038,0
ENSMUSG00000028010.17,19.16674517,21.64056875,16.79335138,17.42921461,14.12687035,17.96726556,9.94189134,10.17430329
ENSMUSG00000058952.13,2.317547619,1.715748417,0.499430524,0.735648669,0.789700827,0.872197357,0.338928114,0.249676154
ENSMUSG00000027999.16,20.92056499,17.98768502,19.16564637,19.18345374,16.23273922,17.70560635,38.18590083,45.69073626
