gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000067736.3,0.626364221,1.162281186,0.936432233,0.792237028,1.667146191,2.529372336,1.63815255,2.559180583
ENSMUSG00000101939.2,8.894371942,6.309526438,6.055595108,6.337896222,7.809263735,13.78071825,19.54485457,16.9779785
ENSMUSG00000101111.2,0.501091377,1.439014802,0.749145787,0.962002105,1.052934436,2.267713129,0.621368209,1.123542695
ENSMUSG00000100862.2,0.751637066,1.93713531,1.623149204,0.962002105,2.281357945,4.360986787,0.960296323,1.498056927
ENSMUSG00000102070.2,1.503274131,2.158522203,1.623149204,2.263534365,3.509781454,3.750448637,0.734344247,1.248380772
ENSMUSG00000101249.2,1.691183397,2.379909095,1.623149204,2.206946006,3.071058772,4.448206522,2.654936892,3.12095193
ENSMUSG00000073725.9,35.07639639,30.27465756,28.46753989,31.18018588,31.67577762,34.80067456,52.13844151,53.6803732
ENSMUSG00000033569.18,0.062636422,0.055346723,0,0.056588359,0,0,0,0
ENSMUSG00000102465.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000102386.2,0.062636422,0,0,0,0,0,0,0.062419039
ENSMUSG00000073722.4,0,0,0,0,0,0,0.112976038,0
ENSMUSG00000086240.5,0.125272844,0.110693446,0.187286447,0.056588359,0,0.087219736,0.056488019,0
ENSMUSG00000099492.2,0.250545689,0.166040169,0.124857631,0.056588359,0.175489073,0.087219736,0.282440095,0.187257116
ENSMUSG00000100261.2,0.062636422,0,0,0.056588359,0,0,0,0
ENSMUSG00000101180.2,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000048874.16,87.12726318,125.1942878,91.52064359,96.48315232,90.81559512,88.78969098,66.14747022,59.48534379
ENSMUSG00000103783.2,0.062636422,0.387427062,0.249715262,0.113176718,0.087744536,0.087219736,0.056488019,0
ENSMUSG00000104315.2,0.125272844,0.276733616,0.124857631,0.509295232,0.350978145,0.61053815,0.225952076,0.187257116
ENSMUSG00000026064.17,0.375818533,0.221386893,0.249715262,0.509295232,0.701956291,0.872197357,0.903808304,0.561771347
